Depth,Porosity,theta_s,theta_r,Alpha,N,a_eta,b
1,0.4,0.4,0.05,0.5,2,0.321,0.271
2,0.4,0.4,0.05,0.5,2,0.321,0.271
3,0.4,0.4,0.05,0.5,2,0.321,0.271
4,0.4,0.4,0.05,0.5,2,0.321,0.271
5,0.4,0.4,0.05,0.5,2,0.321,0.271
6,0.4,0.4,0.05,0.5,2,0.321,0.271
7,0.4,0.4,0.05,0.5,2,0.321,0.271
8,0.4,0.4,0.05,0.5,2,0.321,0.271
9,0.4,0.4,0.05,0.5,2,0.321,0.271
10,0.4,0.4,0.05,0.5,2,0.321,0.271
20,0.4,0.4,0.05,0.5,2,0.321,0.271
30,0.4,0.4,0.05,0.5,2,0.321,0.271
40,0.4,0.4,0.05,0.5,2,0.321,0.271
50,0.4,0.4,0.05,0.5,2,0.321,0.271
